"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"GuideX: Guided Synthetic Data Generation for Zero-Shot Information Extraction","https://scispace.com/paper/guidex-guided-synthetic-data-generation-for-zero-shot-t3d5nqtr247s","2025","Journal Article","arXiv.org","Neil De La Fuente
Oscar Sainz
Iker Garc'ia-Ferrero
Eneko Agirre","10.48550/arxiv.2506.00649","https://scispace.compdf/guidex-guided-synthetic-data-generation-for-zero-shot-t3d5nqtr247s.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to generate synthetic IE data, shows zero‑shot gains across multiple NER benchmarks, but does not address schema reverse‑engineering or document class hierarchy.",""
"ZeroGR: A Generalizable and Scalable Framework for Zero-Shot Generative Retrieval","https://scispace.com/paper/zerogr-a-generalizable-and-scalable-framework-for-zero-shot-3pq9786za89k","2025","Journal Article","","Sun Wei-wei
Ma Xinyu
Wang, Shuaiqiang
Yin Dawei
de Rijke, Maarten
Ren, Zhaochun
Yang Yi-ming","10.48550/arxiv.2510.10419","","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Leverages LLMs for zero‑shot generative retrieval with strong cross‑domain benchmarks, but does not address schema reverse‑engineering or document class taxonomy.","Generative retrieval (GR) reformulates information retrieval (IR) by framing it as the generation of document identifiers (docids), thereby enabling an end-to-end optimization and seamless integration with generative language models (LMs). Despite notable progress under supervised training, GR still struggles to generalize to zero-shot IR scenarios, which are prevalent in real-world applications. To tackle this challenge, we propose \textsc{ZeroGR}, a zero-shot generative retrieval framework that leverages natural language instructions to extend GR across a wide range of IR tasks. Specifically, \textsc{ZeroGR} is composed of three key components: (i) an LM-based docid generator that unifies heterogeneous documents (e.g., text, tables, code) into semantically meaningful docids; (ii) an instruction-tuned query generator that generates diverse types of queries from natural language task descriptions to enhance corpus indexing; and (iii) a reverse annealing decoding strategy to balance precision and recall during docid generation. We investigate the impact of instruction fine-tuning scale and find that performance consistently improves as the number of IR tasks encountered during training increases. Empirical results on the BEIR and MAIR benchmarks demonstrate that \textsc{ZeroGR} outperforms strong dense retrieval and generative baselines in zero-shot settings, establishing a new state-of-the-art for instruction-driven GR. "
"Zero-Shot Document Understanding using Pseudo Table of Contents-Guided Retrieval-Augmented Generation","https://scispace.com/paper/zero-shot-document-understanding-using-pseudo-table-of-ubmfefe7v2cl","2025","Journal Article","","Jeong Hyeon Seong
Jeong, Haedong
Kim Taehoon","10.48550/arxiv.2507.23217","https://scispace.compdf/zero-shot-document-understanding-using-pseudo-table-of-ubmfefe7v2cl.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses multimodal LLM as core engine; zero‑shot, training‑free retrieval‑augmented generation; evaluates on MMLongBench‑Doc with latency and complexity gains; provides hierarchical pseudo‑TOC but not generative schema reverse‑engineering or multi‑domain tests; lacks ablation of generative vs. extractive parts.","Understanding complex multimodal documents remains challenging due to their structural inconsistencies and limited training data availability. We introduce \textit{DocsRay}, a training-free document understanding system that integrates pseudo Table of Contents (TOC) generation with hierarchical Retrieval-Augmented Generation (RAG). Our approach leverages multimodal Large Language Models' (LLMs) native capabilities to seamlessly process documents containing diverse elements such as text, images, charts, and tables without requiring specialized models or additional training. DocsRay's framework synergistically combines three key techniques: (1) a semantic structuring module using prompt-based LLM interactions to generate a hierarchical pseudo-TOC, (2) zero-shot multimodal analysis that converts diverse document elements into unified, text-centric representations using the inherent capabilities of multimodal LLMs, and (3) an efficient two-stage hierarchical retrieval system that reduces retrieval complexity from $O(N)$ to $O(S + k_1 \cdot N_s)$. Evaluated on documents averaging 49.4 pages and 20,971 textual tokens, DocsRay reduced query latency from 3.89 to 2.12 seconds, achieving a 45% efficiency improvement. On the MMLongBench-Doc benchmark, DocsRay-Pro attains an accuracy of 64.7%, substantially surpassing previous state-of-the-art results. "
"Zero-Shot On-the-Fly Event Schema Induction","https://scispace.com/paper/zero-shot-on-the-fly-event-schema-induction-542u22gt2v","2023","Journal Article","","Rotem Dror
Haoyu Wang
Dan Roth","10.18653/v1/2023.findings-eacl.53","https://scispace.compdf/zero-shot-on-the-fly-event-schema-induction-542u22gt2v.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses GPT‑3 to generate texts for zero‑shot event schema induction; benchmarks LDC2020E25 and new Schema‑11; lacks document class focus, cross‑domain tests, scalability or ablations.","What are the events involved in a pandemic outbreak? What steps should be taken when planning a wedding? The answers to these questions can be found by collecting many documents on the complex event of interest, extracting relevant information, and analyzing it. We present a new approach in which large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety.Using our model, complete schemas on any topic can be generated on-the-fly without any manual data collection, i.e., in a zero-shot manner. Moreover, we develop efficient methods to extract pertinent information from texts and demonstrate in a series of experiments that these schemas are considered to be more complete than human-curated ones in the majority of examined scenarios. Finally, we show that this framework is comparable in performance with previous supervised schema induction methods that rely on collecting real texts and even reaching the best score in the prediction task. "
"ReverseNER: A Self-Generated Example-Driven Framework for Zero-Shot
  Named Entity Recognition with Large Language Models","https://scispace.com/paper/reversener-a-self-generated-example-driven-framework-for-6emgzgj43t7t","2024","Journal Article","","An-Bang Wang","10.48550/arxiv.2411.00533","https://scispace.compdf/reversener-a-self-generated-example-driven-framework-for-6emgzgj43t7t.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to generate entity‑rich sentences for zero‑shot NER, achieving strong zero‑shot performance and benchmark experiments; lacks schema reverse‑engineering, document taxonomy focus, and detailed scalability or extensive cross‑domain analysis.","This paper presents ReverseNER, a framework aimed at overcoming the limitations of large language models (LLMs) in zero-shot Named Entity Recognition (NER) tasks, particularly in cases where certain entity types have ambiguous boundaries. ReverseNER tackles this challenge by constructing a reliable example library with the reversed process of NER. Rather than beginning with sentences, this method uses an LLM to generate entities based on their definitions and then expands them into full sentences. During sentence generation, the LLM is guided to replicate the structure of a specific 'feature sentence', extracted from the task sentences by clustering. This results in well-annotated sentences with clearly labeled entities, while preserving semantic and structural similarity to the task sentences. Once the example library is constructed, the method selects the most semantically similar example labels for each task sentence to support the LLM's inference. We also propose an entity-level self-consistency scoring mechanism to improve NER performance with LLMs. Experiments show that ReverseNER significantly outperforms traditional zero-shot NER with LLMs and surpasses several few-shot methods, marking a notable improvement in NER for domains with limited labeled data. "
"How Effective are Generative Large Language Models in Performing Requirements Classification?","https://scispace.com/paper/how-effective-are-generative-large-language-models-in-ro3yil70pq6d","2025","Journal Article","arXiv.org","Waad Alhoshan
Alessio Ferrari
Liping Zhao","10.48550/arxiv.2504.16768","https://scispace.compdf/how-effective-are-generative-large-language-models-in-ro3yil70pq6d.pdf","- **Relevance Score:** 23/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs for zero‑shot requirements classification, evaluates on PROMISE NFR and security datasets, compares models and prompts, but does not perform generative schema reverse‑engineering or hierarchical class induction.",""
"Generative Zero-Shot Prompt Learning for Cross-Domain Slot Filling with Inverse Prompting","https://scispace.com/paper/generative-zero-shot-prompt-learning-for-cross-domain-slot-2vuxs85d","2023","Journal Article","arXiv.org","Xuefeng Li
Liwen Wang
Guanting Dong
Keqing He
Jinzheng Zhao
Hao Lei
Jiachi Liu
Weiran Xu","10.48550/arXiv.2307.02830","https://scispace.compdf/generative-zero-shot-prompt-learning-for-cross-domain-slot-2vuxs85d.pdf","- **Relevance Score:** 23/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a pre‑trained LLM to generate slot values in a zero‑shot, cross‑domain setting with extensive benchmark experiments; does not address schema reverse‑engineering or document class hierarchy.","Zero-shot cross-domain slot filling aims to transfer knowledge from the labeled source domain to the unlabeled target domain. Existing models either encode slot descriptions and examples or design handcrafted question templates using heuristic rules, suffering from poor generalization capability or robustness. In this paper, we propose a generative zero-shot prompt learning framework for cross-domain slot filling, both improving generalization and robustness than previous work. Besides, we introduce a novel inverse prompting strategy to distinguish different slot types to avoid the multiple prediction problem, and an efficient prompt-tuning strategy to boost higher performance by only training fewer prompt parameters. Experiments and analysis demonstrate the effectiveness of our proposed framework, especially huge improvements (+13.44% F1) on the unseen slots."
"SchemaCoder: Automatic Log Schema Extraction Coder with Residual Q-Tree Boosting","https://scispace.com/paper/schemacoder-automatic-log-schema-extraction-coder-with-ylr29jyv5fbx","2025","Journal Article","arXiv.org","Lily Jiaxin Wan
Chia-Tung Ho
Rongjian Liang
Cunxi Yu
Deming Chen
Haoxing Ren","10.48550/arxiv.2508.18554","https://scispace.compdf/schemacoder-automatic-log-schema-extraction-coder-with-ylr29jyv5fbx.pdf","- **Relevance Score:** 23/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to auto‑generate log schemas, evaluated on LogHub‑2.0 with zero‑shot queries; applies across varied log formats but not to document class hierarchies, and lacks scalability or ablation analysis.","Log schema extraction is the process of deriving human-readable templates from massive volumes of log data, which is essential yet notoriously labor-intensive. Recent studies have attempted to streamline this task by leveraging Large Language Models (LLMs) for automated schema extraction. However, existing methods invariably rely on predefined regular expressions, necessitating human domain expertise and severely limiting productivity gains. To fundamentally address this limitation, we introduce SchemaCoder, the first fully automated schema extraction framework applicable to a wide range of log file formats without requiring human customization within the flow. At its core, SchemaCoder features a novel Residual Question-Tree (Q-Tree) Boosting mechanism that iteratively refines schema extraction through targeted, adaptive queries driven by LLMs. Particularly, our method partitions logs into semantic chunks via context-bounded segmentation, selects representative patterns using embedding-based sampling, and generates schema code through hierarchical Q-Tree-driven LLM queries, iteratively refined by our textual-residual evolutionary optimizer and residual boosting. Experimental validation demonstrates SchemaCoder's superiority on the widely-used LogHub-2.0 benchmark, achieving an average improvement of 21.3% over state-of-the-arts."
"Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT","https://scispace.com/paper/generation-driven-contrastive-self-training-for-zero-shot-1b29rptz","2023","Journal Article","arXiv.org","Ruohong Zhang
Yau-Shian Wang
Yiming Yang","10.48550/arXiv.2304.11872","https://scispace.compdf/generation-driven-contrastive-self-training-for-zero-shot-1b29rptz.pdf","- **Relevance Score:** 23/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alpaca‑7B to generate training pairs for zero‑shot classification; reports strong results on four benchmarks, but does not address schema reverse‑engineering, hierarchical taxonomy, or scalability analyses.","Moreover, GPT-based zero-shot classification models tend to make independent predictions over test instances, which can be sub-optimal as the instance correlations and the decision boundaries in the target space are ignored. To address these difficulties and limitations, we propose a new approach to zero-shot text classification, namely \ourmodelshort, which leverages the strong generative power of GPT to assist in training a smaller, more adaptable, and efficient sentence encoder classifier with contrastive self-training. Specifically, GenCo applies GPT in two ways: firstly, it generates multiple augmented texts for each input instance to enhance the semantic embedding of the instance and improve the mapping to relevant labels; secondly, it generates augmented texts conditioned on the predicted label during self-training, which makes the generative process tailored to the decision boundaries in the target space. In our experiments, GenCo outperforms previous state-of-the-art methods on multiple benchmark datasets, even when only limited in-domain text data is available."
"Cross-domain Chinese Sentence Pattern Parsing","https://scispace.com/paper/cross-domain-chinese-sentence-pattern-parsing-2k81e2jw8q","2024","Preprint","","Jingsi Yu
Cunliang Kong
Liner Yang
Meishan Zhang
Lin Zhu
Yujie Wang
Hong Lin
Maosong Sun
Erfu Yang","10.48550/arxiv.2402.16311","https://scispace.compdf/cross-domain-chinese-sentence-pattern-parsing-2k81e2jw8q.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM‑enhanced self‑training to boost cross‑domain sentence pattern parsing; strong LLM core and cross‑domain tests, but no schema reverse‑engineering, zero‑shot, or document taxonomy goals, and lacks benchmark, scalability, or ablation details.","Sentence Pattern Structure (SPS) parsing is a syntactic analysis method primarily employed in language teaching.Existing SPS parsers rely heavily on textbook corpora for training, lacking cross-domain capability.To overcome this constraint, this paper proposes an innovative approach leveraging large language models (LLMs) within a self-training framework. Partial syntactic rules from a source domain are combined with target domain sentences to dynamically generate training data, enhancing the adaptability of the parser to diverse domains.Experiments conducted on textbook and news domains demonstrate the effectiveness of the proposed method, outperforming rule-based baselines by 1.68 points on F1 metrics. "
